SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.2000, 20, 0.11273713, -0.92863297, -0.13393106, 4.58233213, 84.52133179, -25.81119728, -59.57322311, -28.85121346, -73.86728668, 89.92770386, -10.79917812, 89.17312622, -0.45499641, 0.54778314, 0.44644561, 0.54184717, -0.30187953, -0.05331559, 0.13347939, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2300, 23, 0.99486345, -0.06279235, 0.09033442, -8.82297611, -1.71685922, -2.72790790, 78.80736542, -2.80619693, 87.51826477, 136.76257324, 83.74714661, 88.73455811, 0.63002962, -0.32290152, -0.65985531, 0.25177020, -0.00083940, -0.01206511, -0.01088263, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 21, 0.08874065, -0.96383220, -0.12828702, 3.48887658, 92.38193512, -33.68385315, -58.43320465, -27.65273285, -74.21806335, 89.78929901, -10.46004772, 90.11222839, -0.45280674, 0.54222065, 0.45187205, 0.54477012, -0.27256876, -0.01912076, 0.12557216, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 22, 0.06993426, -0.99207819, -0.12538418, 3.15668869, 99.26050568, -39.78323364, -57.81935120, -28.79274940, -74.62730408, 89.64153290, -10.05729675, 91.11894989, -0.45061490, 0.53603405, 0.45780680, 0.54774690, -0.24723743, 0.00793788, 0.12019379, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2400, 24, 0.99958837, -0.03775302, 0.08311316, -9.03339386, -1.96537316, -2.12326002, 78.86582947, -4.18006420, 87.81057739, 136.69041443, 83.77599335, 88.75283051, 0.63035053, -0.32223934, -0.66000539, 0.25142205, -0.00550267, -0.03669257, -0.00404659, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2500, 25, 1.00248742, -0.03452858, 0.07571407, -9.17170334, -2.11911201, -0.99404418, 78.86582947, -4.18006420, 87.81057739, 136.53121948, 83.79821014, 88.68495178, 0.63070852, -0.32163101, -0.66011769, 0.25100794, -0.00835438, -0.03979436, 0.00287081, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2600, 26, 1.00276017, -0.03796949, 0.07640353, -7.78539896, -1.98501134, 0.08044598, 78.22274017, -2.80619693, 87.10903168, 136.32191467, 83.81201172, 88.55268860, 0.63104302, -0.32116362, -0.66017652, 0.25061071, -0.00859514, -0.03641323, 0.00171823, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2700, 27, 1.00617921, -0.03852379, 0.07821220, -8.08159542, -2.67018914, 1.23559093, 78.45658875, -3.21543407, 87.34288025, 135.98814392, 83.82279205, 88.29830170, 0.63145012, -0.32073128, -0.66017145, 0.25015187, -0.01199311, -0.03609702, -0.00058583, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2800, 28, 1.00476336, -0.03411417, 0.06758726, -7.72145176, -3.25581360, 2.48393154, 79.39199066, -3.24466538, 87.48903656, 135.61894226, 83.84460449, 88.00097656, 0.63189137, -0.32028651, -0.66010135, 0.24979198, -0.01055372, -0.04090007, 0.00935364, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2300, 23, 0.02407021, -1.01067960, -0.10866009, 3.07881260, 104.42321777, -44.11835098, -57.81935120, -28.79274940, -74.62730408, 89.49189758, -9.60821533, 92.17532349, -0.44838592, 0.52937490, 0.46410140, 0.55074686, -0.19392627, 0.02524424, 0.10088394, 0.00000000, 0.00000000, 0.00000000, 0.00000000
